inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,13.0,12.0,11.0,12.0,15.0,16.0,17.0,19.0,19.0,20.0,21.0,22.0,24.0,27.0,27.0,27.0,27.0,28.0,29.0,31.0,inf
inf,10.0,10.0,10.0,12.0,14.0,16.0,18.0,18.0,19.0,20.0,inf,22.0,24.0,25.0,26.0,26.0,27.0,28.0,30.0,30.0,inf
inf,8.0,9.0,12.0,12.0,14.0,17.0,18.0,19.0,19.0,20.0,inf,23.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,inf
inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.0,27.0,29.0,29.0,30.0,inf
inf,7.0,6.0,5.0,5.0,5.0,inf,7.0,6.0,6.0,7.0,inf,inf,inf,inf,inf,27.0,27.0,29.0,31.0,32.0,inf
inf,7.0,inf,4.0,4.0,5.0,inf,5.0,5.0,6.0,7.0,inf,inf,inf,inf,inf,28.0,29.0,28.0,29.0,31.0,inf
inf,inf,inf,4.0,3.0,inf,inf,4.0,5.0,6.0,7.0,inf,32.0,31.0,30.0,29.0,29.0,29.0,30.0,29.0,30.0,inf
inf,4.0,inf,3.0,2.0,3.0,3.0,inf,inf,inf,inf,inf,32.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,inf
inf,3.0,2.0,2.0,1.0,2.0,3.0,inf,inf,inf,inf,inf,32.0,31.0,32.0,32.0,31.0,32.0,32.0,31.0,32.0,inf
inf,2.0,1.0,0,1.0,2.0,4.0,inf,inf,inf,inf,inf,32.0,33.0,33.0,34.0,32.0,34.0,33.0,34.0,34.0,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
